3.54714,3.16442,2.77699,3.16872,2.46067
3.92536,3.26332,3.42943,3.55354,2.79317
4.01103,3.31931,3.51690,3.63301,2.75063
4.00233,3.31898,3.45767,3.44333,2.89342
4.09903,3.32482,3.45058,3.63225,2.79621
4.07781,3.25226,3.26769,3.75362,2.69585
4.12471,3.42459,3.62293,3.50498,2.31321
4.02613,3.29654,3.45505,3.60912,2.81794
3.62862,2.94253,2.82522,3.21716,2.49930
3.98922,3.42529,3.28261,3.45607,2.84636
3.75798,3.17388,2.82350,3.31002,2.46103
3.61552,3.18085,3.11905,3.42820,2.74333
4.03851,3.25579,3.33130,3.54810,2.86075
3.94428,3.24213,2.96604,3.29032,2.60500
4.00647,3.26041,3.47737,3.59156,2.75103
4.05023,3.05642,3.32640,3.45449,2.40212
3.85977,3.29979,3.47603,3.53521,2.76301
3.77441,3.16035,3.25963,3.41354,2.49203
3.95476,3.28568,3.47249,3.60012,2.75544
3.97834,3.30218,3.45723,3.56888,2.75157
3.88922,3.17134,3.07667,3.33518,2.72585
3.97026,3.30654,3.55533,3.63825,2.71457
4.03339,3.28290,3.47064,3.67896,2.75590
4.06064,3.23386,3.39125,3.61491,2.50077
3.96045,3.22968,3.48537,3.63760,2.76149
3.99758,3.32381,3.40958,3.55930,2.86913
3.91586,3.23231,3.39659,3.52740,2.77293
3.97803,3.33418,3.35091,3.54977,2.81030
3.96759,3.27778,3.44897,3.57080,2.78545
3.96373,3.27666,3.42820,3.53743,2.83075
4.00468,3.28992,3.48776,3.61778,2.81127
3.98558,3.30329,3.45305,3.55964,2.82859
4.04323,3.32397,3.44203,3.62130,2.80639
4.54226,3.62053,3.41252,3.91693,2.93332
4.06314,3.23075,3.40034,3.60910,2.75293
3.87194,3.25879,2.96718,3.29430,2.80409
4.06597,3.13446,3.61608,3.48415,2.65220
4.11874,3.31059,3.38653,3.64332,2.85149
4.06041,3.04471,3.28116,3.79075,2.56734
3.93230,3.25494,3.43958,3.54953,2.78491
3.89084,3.10864,2.93760,3.40712,2.59835
3.92212,3.31110,3.45099,3.60843,2.83983
4.05070,3.27344,3.34924,3.64529,2.85100
4.16508,3.28666,3.09409,3.52748,2.69543
4.03574,3.27982,3.43524,3.61510,2.80816
4.01537,3.30248,3.40996,3.55113,2.79818
4.00452,3.02331,3.37087,3.62708,2.81776
4.09801,3.39286,3.30060,3.57549,2.60141
3.94387,3.26147,3.45249,3.55267,2.81996
3.83914,3.34627,3.27413,3.59274,2.49750
3.95791,3.31400,3.49016,3.61719,2.74725
4.05217,3.53822,3.67442,3.61305,2.41700
4.03466,3.27115,3.29512,3.64153,2.70304
3.95457,3.27897,3.45937,3.55106,2.75752
4.06738,3.12390,3.19761,3.59430,2.76088
3.91172,3.24012,3.47630,3.58156,2.77739
3.99772,3.32182,3.50802,3.66223,2.76376
3.97051,3.20882,3.31787,3.58387,2.66832
3.92392,3.18338,3.18608,3.43752,2.83448
3.97062,3.25101,3.44819,3.60015,2.79709
3.89650,3.24056,3.45758,3.55880,2.77909
4.31323,3.84061,3.64891,3.82270,2.56897
4.30503,3.82441,3.60825,3.79446,2.58282
4.02089,3.35116,3.14890,3.45396,2.52203
4.06399,3.37201,3.16454,3.45772,2.54720
3.95489,3.14495,3.04073,3.43047,2.49602
3.97088,3.32894,3.15240,3.43283,2.56732
4.01084,3.35386,3.20611,3.47322,2.54126
4.10490,3.33780,3.26283,3.50646,2.52236
4.10967,3.36105,3.24932,3.51398,2.51498
4.09679,3.41012,3.25848,3.60366,2.51664
3.99077,3.33406,3.20284,3.52685,2.53688
4.04653,3.31649,3.16716,3.45846,2.52080
3.96087,3.28476,3.16746,3.39953,2.52607
4.01738,3.33539,3.15867,3.45975,2.51110
4.20947,3.42596,3.32288,3.61100,2.58272
4.03330,3.20627,3.11499,3.71450,2.57742
4.00243,3.32640,3.15316,3.44042,2.51644
